"drag-coefficient-rfile"
"Iteration" "drag-coefficient etc.."
("Iteration" "drag-coefficient" "drag-force")
504 0.008314770340882799 0.5092796833790714
505 0.008314601653324295 0.008314601653324295
506 0.008445575425442314 0.008445575425442314
507 0.008555720067134216 0.008555720067134216
508 0.008644350283366169 0.008644350283366169
509 0.008715331510771796 0.008715331510771796
510 0.008772950793484524 0.008772950793484524
511 0.008820275379230687 0.008820275379230687
512 0.00885954517178035 0.00885954517178035
513 0.008892446520753024 0.008892446520753024
514 0.008920262476270311 0.008920262476270311
515 0.008943956980902824 0.008943956980902824
516 0.008964283358135414 0.008964283358135414
517 0.008981712968006742 0.008981712968006742
518 0.008996664507528288 0.008996664507528288
519 0.009009548224178061 0.009009548224178061
520 0.00902062100046116 0.00902062100046116
521 0.009030189757531486 0.009030189757531486
522 0.009038561095170386 0.009038561095170386
523 0.009045855302674244 0.009045855302674244
524 0.009052270479670454 0.009052270479670454
525 0.009057868650500575 0.009057868650500575
526 0.009062757955190504 0.009062757955190504
527 0.009066977547705673 0.009066977547705673
528 0.009070644130320533 0.009070644130320533
529 0.009073770637121333 0.009073770637121333
530 0.009076464502853199 0.009076464502853199
531 0.009078740092624864 0.009078740092624864
532 0.009080707601406123 0.009080707601406123
533 0.009082350001842673 0.009082350001842673
534 0.009083760788378886 0.009083760788378886
535 0.009084900824668877 0.009084900824668877
536 0.009085875325079566 0.009085875325079566
537 0.009086640137294663 0.009086640137294663
538 0.009087289861959917 0.009087289861959917
539 0.009087775104844348 0.009087775104844348
540 0.009088205384821383 0.009088205384821383
541 0.009088519632615297 0.009088519632615297
542 0.009088848581159674 0.009088848581159674
543 0.009089117835798464 0.009089117835798464
544 0.009089419607907741 0.009089419607907741
545 0.009089670680530676 0.009089670680530676
546 0.009089960139250935 0.009089960139250935
547 0.009090195735981778 0.009090195735981778
548 0.009090470889514002 0.009090470889514002
549 0.009090704489332311 0.009090704489332311
550 0.009090983138089289 0.009090983138089289
551 0.009091206640398183 0.009091206640398183
552 0.009091465216789198 0.009091465216789198
553 0.00909167180769881 0.00909167180769881
554 0.009091923308178316 0.009091923308178316
555 0.009092112025633365 0.009092112025633365
556 0.009092316616018203 0.009092316616018203
557 0.009092437370223997 0.009092437370223997
558 0.00909256076783598 0.00909256076783598
559 0.009092600758107654 0.009092600758107654
