"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.05166853088664244
2 0.01730414345875074
3 0.01564708296328864
4 0.01405388938873756
5 0.01278341119196913
6 0.01180388746197535
7 0.01107880695527996
8 0.01037392931770154
9 0.009899618738721345
10 0.009509148127161268
11 0.009242598231646077
12 0.009097567081881188
13 0.009032901210934379
14 0.009028018252767653
15 0.009066771419274517
16 0.009130299146496837
17 0.009204694597444127
18 0.009273575161888873
19 0.009323637972832505
20 0.009344873606627547
21 0.009337562053629145
22 0.009309736626659064
23 0.009272836177243554
24 0.009238429564797469
25 0.009216944477692663
26 0.00921316618109643
27 0.009233091310707856
28 0.00928011800430153
29 0.009359084845280759
30 0.009469503449378504
31 0.009615725555157223
32 0.009786009982572732
33 0.009963983652170088
34 0.01013860283479355
35 0.01030177863279768
36 0.01044940812206239
37 0.01058238468330994
38 0.01070135922625538
39 0.01080287418564182
40 0.01087733536197953
41 0.0109264459702924
42 0.01094712960074724
43 0.01094403454309435
44 0.01092624979107066
45 0.01090391614223907
46 0.01088931141187079
47 0.01087977116903035
48 0.01086553304256118
49 0.01084378450584194
50 0.0108162609413142
51 0.01078589138787596
52 0.01075614343091514
53 0.01072917532072858
54 0.0107058632480038
55 0.01068627834970974
56 0.01067009003719535
57 0.01065695716976962
58 0.01064645546362239
59 0.01063826445308566
60 0.0106306547553304
61 0.01062387085732983
62 0.01061809041656254
63 0.01061332821680113
64 0.01060928379373189
65 0.01060585628815378
66 0.01060292736319975
67 0.01060048357653295
68 0.01059841932217324
69 0.01059670209913511
70 0.01059520659563672
71 0.01059389682938575
72 0.01059270689954185
73 0.01059163794231213
74 0.01059065333968468
75 0.01058976202949555
76 0.01058894347845402
77 0.01058821190961415
78 0.01058754954586254
79 0.01058696202046828
80 0.01058643169499089
81 0.01058596065466139
82 0.01058553526910308
83 0.01058515430347363
84 0.0105848134823745
85 0.01058451022297058
86 0.01058424025854153
87 0.01058400119764502
88 0.01058379133261231
89 0.0105836062811976
90 0.01058344552339587
91 0.01058330345171385
92 0.01058318135054184
93 0.01058307403275581
94 0.01058298275541204
95 0.01058290194447958
